,label,en_text,id_text
39,positive,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .","Pada bulan Januari, lalu lintas, diukur dalam pendapatan penumpang kilometer RPK, naik sebesar 3,2% dan kapasitas, diukur dalam kursi yang tersedia kilometer ASK, naik 12,2%."
40,positive,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .","Pada Januari-September 2010, laba bersih Fiskars naik 14% tahun-ke-tahun menjadi EUR 65,4 juta dan penjualan bersih menjadi EUR 525,3 juta dari EUR 487,7 juta."
41,positive,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .","Laba bersih dari asuransi jiwa naik menjadi EUR 16,5 juta dari EUR 14,0 juta , dan laba bersih dari asuransi non-jiwa menjadi EUR 22,6 juta dari EUR 15,2 juta di tahun 2009 ."
42,positive,"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",Nyrstar juga telah setuju untuk memasok ke Talvivaara hingga 150.000 ton asam sulfat per tahun untuk digunakan dalam proses pencucian Talvivaara selama periode pasokan seng dalam konsentrat.
43,positive,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .","Penjualan untuk Divisi Department Store dan Hobby Hall meningkat sebesar 7%, sedangkan penjualan untuk anak perusahaan toko pakaian Seppala turun sebesar 4%."
44,positive,Sales have risen in other export markets .,Penjualan telah meningkat di pasar ekspor lainnya.
45,positive,Sales increased due to growing market rates and increased operations .,Penjualan meningkat karena pertumbuhan harga pasar dan peningkatan operasi.
46,positive,The agreement strengthens our long-term partnership with Nokia Siemens Networks .,Perjanjian tersebut memperkuat kemitraan jangka panjang kami dengan Nokia Siemens Networks.
47,positive,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .","Perjanjian tersebut ditandatangani dengan Biohit Healthcare Ltd, anak perusahaan Biohit Oyj yang berbasis di Inggris, sebuah perusahaan publik Finlandia yang mengembangkan, memproduksi dan memasarkan produk penanganan cairan dan sistem uji diagnostik."
48,positive,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,"Perusahaan juga memperkirakan investasi yang telah dilakukan akan mengarah pada peningkatan penjualan bersih untuk 2010 dari 2009 yang mencapai EUR 141,7 juta."
49,positive,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .","Buku pesanan perusahaan mencapai 1,5 miliar euro $ 2,2 miliar pada 30 September 2007, naik 24,2 persen pada tahun itu, dengan pesanan internasional sebesar 365 juta euro $ 534,3 juta."
50,positive,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .","Perusahaan mengatakan bahwa permintaan kertas meningkat di semua pasar utamanya, termasuk kertas publikasi, dan itu meningkatkan harga kertas rata-rata sebesar 4 persen dibandingkan dengan tahun lalu."
51,positive,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .","Produsen baja nirkarat terbesar kedua di dunia itu mengatakan laba bersih dalam periode tiga bulan hingga 31 Desember melonjak menjadi euro603 juta US$781 juta, atau euro3,33 US$4,31 per saham, dari euro172 juta, atau euro0,94 per saham. berbagi, tahun sebelumnya."
52,positive,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .","Dalam kerangka kemitraan, Nokia Siemens Networks telah menandatangani perjanjian pembelian kerangka kerja awal dengan anak perusahaan Sitronics, JSC Mikron, yang merupakan produsen dan pengekspor komponen mikroelektronika terbesar di Rusia."
53,positive,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .","Pendapatan Seppala meningkat 0,2% menjadi EUR10,1 juta. Di Finlandia, pendapatan turun 2,4% menjadi EUR6,8 juta, sementara penjualan di luar negeri naik 6,2% menjadi EUR3,3 juta. Penjualan meningkat di semua negara Baltik serta di Rusia dan Ukraina."
54,positive,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .","Saham Standard Chartered (STAN) naik 1,2% di FTSE 100, sementara saham Royal Bank of Scotland (RBS) naik 2% dan saham Barclays (BARC) (BCS) naik 1,7%."
55,positive,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,Saham Nokia Corp naik Kamis setelah pembuat ponsel mengatakan pendapatan kuartal ketiga hampir dua kali lipat dan pangsa pasar handset global meningkat.
56,positive,"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .","Dalam laporan keuangannya, yang diterbitkan pada hari Jumat, SEB mengatakan laba bersihnya melonjak menjadi SEK 6.745 miliar pada 2010 dari tahun sebelumnya SEK 1.114 miliar dan mengusulkan peningkatan dividen 50% menjadi SEK1,50 per saham."
57,positive,Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,Penjualan untuk Divisi Department Store meningkat sebesar 15% dan penjualan untuk anak perusahaan toko pakaian Seppala meningkat sebesar 8% Sementara penjualan untuk Hobby Hall turun sebesar 12%.
63,positive,"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .","Pada awalnya kontrak membayangkan pembangunan tiga kapal feri dengan opsi untuk dua unit lagi, selanjutnya dikonfirmasi dengan nilai total 500 juta euro ($ 645,8 juta)."
65,positive,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .","KESKO CORPORATION RELEASE BURSA EFEK 28.02.2008 PUKUL 09.30 1 (1) Kesko Corporation dan Aspo plc hari ini menandatangani perjanjian dimana Aspo mengakuisisi modal saham Kauko-Telko Ltd, anak perusahaan yang sepenuhnya dimiliki oleh Kesko."
66,positive,Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,"Sponda Plc Stock Exchange Rilis 5 Desember 2006 pukul 15,45 EUR 1,5 MILIAR FASILITAS KREDIT SINDIKASI UNTUK SPONDA Sponda telah menandatangani perjanjian untuk fasilitas kredit sindikasi satu tahun dengan total EUR 1,5 miliar."
68,positive,"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .","Kontrak tersebut mencakup platform HDO, node Fttb optik AC800 dan CXE880 yang dirancang untuk meningkatkan kapasitas jalur maju dan mundur dari jaringan transmisi."
70,positive,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .","Indeks OMX Helsinki 25 naik 0,92 persen pada 2.518,67 dan indeks portofolio CAP Helsinki naik 0,91 persen pada 4.711,19."
77,positive,"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .","Rinkuskiai meningkatkan penjualan sebesar 18,1 persen menjadi 1,37 juta liter, sedangkan penjualan Kauno Alus tumbuh 14,3 persen menjadi 960.000 liter."
79,positive,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc menjual saham Morning Digital Design Oy Perusahaan IT Finlandia TJ Group Plc mengatakan pada hari Jumat 7 April bahwa pihaknya telah menandatangani perjanjian penjualan saham Morning Digital Design Oy kepada Edita Oyj.
83,positive,Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,Berdasarkan perjanjian ini Biohit menjadi pemasok fokus pipettor dan tip pipettor sekali pakai untuk pelanggan VWR di seluruh Eropa.
84,positive,"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .","Kombinasi dari semua layanan memungkinkan kami untuk menawarkan rantai layanan yang kompleks dan diperkuat tidak hanya terbatas pada koneksi pelabuhan Baltik tetapi juga untuk mendapatkan akses ke Jaringan Grimaldi di seluruh dunia ke Mediterania, Afrika dan Amerika Utara `` kata Uwe Bakosch."
86,positive,"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .","Perusahaan masih mengharapkan omset pada tahun 2010 sedikit meningkat dari tingkat tahun 2009, menambahkan bahwa `` prediksi pasar masih terlalu buruk untuk perkiraan yang dapat dipercaya tentang perkembangan pasar dari bisnis manufaktur kontrak selama tahun berjalan''."
87,positive,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,Akuisisi ini akan sangat meningkatkan penjualan Kemira dan posisi pasar di pasar pelapis industri logam Rusia.
88,positive,"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .","Pada Januari-September 2007 , penjualan bersih Finnlines naik menjadi EUR 505,4 juta dari EUR 473,5 juta pada periode yang sama tahun 2006 ."
89,positive,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .","Disesuaikan dengan perubahan struktur Grup, penjualan bersih Divisi meningkat sebesar 1,7%."
90,positive,"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .","`` Perubahan tersebut akan mengoptimalkan efisiensi operasional bisnis kami yang sedang berkembang , '' kata Julia Prohaska , direktur komunikasi pemasaran Fiskars ."
91,positive,"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .","`` Mereka akan berinvestasi tidak hanya di infrastruktur fisik , tetapi juga akan memberikan pengetahuan untuk mengelola dan mengembangkan taman ilmu pengetahuan dan teknologi , '' kata direktur Sunrise Valley Andrius Bagdonas ."
92,positive,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .","4 Februari 2011 - Penyedia sistem komunikasi data broadband Finlandia Teleste Oyj HEL ​​: TLT1V mengalami lonjakan laba bersih menjadi EUR2 ,1 juta untuk kuartal terakhir 2010 dari EUR995 ,000 untuk periode yang sama tahun 2009 ."
93,positive,Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,"Laba operasional Grup Aktia Finlandia naik menjadi EUR 17,5 juta pada kuartal pertama 2010 dari EUR 8,2 juta pada kuartal pertama 2009 ."
94,positive,Finnish Bank of +_land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,"Laba bersih operasional konsolidasi Bank of +_land Finlandia meningkat dari EUR 4,8 juta pada kuartal pertama 2005 menjadi EUR 6,4 juta pada kuartal pertama 2006 ."
95,positive,"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .","Grup keuangan Finlandia Aktia melaporkan laba operasi sebesar EUR 44,4 juta pada Januari-September 2009 , naik dari EUR 37,3 juta pada periode yang sama tahun 2008 ."
96,positive,"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .","Penyedia teknologi tinggi Finlandia Vaahto Group melaporkan penjualan bersih sebesar EUR 41,8 juta pada periode akuntansi September 2007-Februari 2008, meningkat 11,2% dari tahun sebelumnya."
97,positive,Net sales of Finnish food industry company L+Ænnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,"Penjualan bersih dari operasi berkelanjutan perusahaan industri makanan Finlandia L+Ænnen Tehtaat meningkat sebesar 13% pada tahun 2008 menjadi EUR 349,1 juta dari EUR 309,6 juta pada tahun 2007 ."
98,positive,An individual promotion also generated slightly higher-than-expected revenues .,Promosi individu juga menghasilkan pendapatan yang sedikit lebih tinggi dari perkiraan.
99,positive,Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,Biohit telah melayani banyak pelanggan Genesis saat ini dan basis pelanggan diharapkan dapat berkembang sebagai hasil dari perjanjian ini.
100,positive,"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .","Baik laba operasi dan omset untuk periode tiga bulan meningkat , masing-masing dari EUR0,9 juta dan EUR8,3 juta, dibandingkan dengan periode yang sama pada tahun 2005."
101,positive,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,Pendapatan sirkulasi telah meningkat sebesar 5% di Finlandia dan 4% di Swedia pada tahun 2008 .
102,positive,Clothing chain Sepp+Æl+Æ 's net sales increased by 7.0 % to EUR 30.8 mn .,"Penjualan bersih rantai pakaian Sepp+Æl+Æ meningkat sebesar 7,0 % menjadi EUR 30,8 juta ."
103,positive,Construction volumes meanwhile grow at a rate of 10-15 percent annually .,"Sementara itu, volume konstruksi tumbuh pada tingkat 10-15 persen per tahun."
104,positive,Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,Pasar konstruksi Finlandia dan Swedia diperkirakan masih mengalami pertumbuhan tahunan sebesar 4% di tahun 2008 .
105,positive,"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .","Namun , Biohit memperkirakan total penjualan bersihnya akan terus tumbuh di tahun 2009 , dan tren yang menguntungkan dalam penjualan bersih akan menghasilkan keuntungan di tahun 2009 ."
106,positive,"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .","Pada tahun 2009, arus kas Fiskars dari aktivitas operasi sebesar EUR121m, naik dari EUR97m di tahun sebelumnya."
107,positive,"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .","Di Lithuania , laba operasi naik menjadi EUR 190.000 dari EUR 70.000 pada periode yang sama tahun 2005 ."
